year,name,cname,abr,votes,tot
2014,Rayadurg,K. Srinivasulu,IND,397,451720
2014,Rayadurg,D. Shivakumar,PPOI,449,451720
2014,Rayadurg,N. Srinivasulu,IND,495,451720
2014,Rayadurg,B Venkata Ramana (Babu),LSP,649,451720
2014,Rayadurg,Virupa Srinivasulu,IND,767,451720
2014,Rayadurg,D. Yerriswamy Reddy,RPS,947,451720
2014,Rayadurg,None Of The Above,NOTA,1288,451720
2014,Rayadurg,S. Mallikarjuna,BCUF,1400,451720
2014,Rayadurg,Vadde M. B. Chinnappayya,INC,2737,451720
2014,Rayadurg,Kapu Ramachandra Reddy,YSRCP,90517,451720
2014,Rayadurg,Kalava Srinivasulu,TDP,92344,451720
1989,Kalyandurg,B. Parusuramaiah,IND,749,148447
1989,Kalyandurg,Sanjeevaiah V.,CPI,43706,148447
1989,Kalyandurg,Lakshmi Devi M.,INC,48448,148447
2009,Kalyandurg,Y G K Venkatesulu,PPOI,532,177742
2009,Kalyandurg,B Venkata Narayana,BSP,616,177742
2009,Kalyandurg,R G Santha Kumari,LSP,642,177742
2009,Kalyandurg,M Narayana,IND,914,177742
2009,Kalyandurg,Balaram Sake,BJP,1415,177742
2009,Kalyandurg,Market Ramanna,PRAP,7342,177742
2009,Kalyandurg,Vunnam Hanumantharaya Chowdary,TDP,65226,177742
2009,Kalyandurg,Neelakantapuram Raghuveera Reddy,INC,69614,177742
2014,Kalyandurg,Dasari Chandrasekhara,IND,523,391304
2014,Kalyandurg,Sugepalli Ravi Kumar,JASPA,751,391304
2014,Kalyandurg,None Of The Above,NOTA,880,391304
2014,Kalyandurg,P.Pakruddin,PPOI,1318,391304
2014,Kalyandurg,K.Ramakrishnayya,BSP,1395,391304
2014,Kalyandurg,M.D.Sanjeevappa,CPI,1541,391304
2014,Kalyandurg,Boya Thippe Swamy,YSRCP,69662,391304
2014,Kalyandurg,Vunnam Hanumantharaya Chowdary,TDP,91981,391304
1978,Kalyandurg,C.Obaiah,IND,1305,104599
1978,Kalyandurg,Lakshmi Devi M.,INC,17801,104599
1978,Kalyandurg,S.Viswandam,INC(I),19937,104599
1978,Kalyandurg,Hindi Narasappa,JNP,23364,104599
1983,Kalyandurg,Chowdappa,IND,600,111571
1983,Kalyandurg,B. T. Pakkirappa,CPI,8179,111571
1983,Kalyandurg,Vishwanatham,INC,19989,111571
1983,Kalyandurg,T. C. Mareppa,IND,41768,111571
1985,Kalyandurg,Lakshmidevi,INC,24469,117910
1985,Kalyandurg,B. T. Pakkirappa,CPI,49489,117910
1994,Kalyandurg,Boddappa,IND,51,166213
1994,Kalyandurg,Ramaswamy,IND,112,166213
1994,Kalyandurg,Kollappa,IND,209,166213
1994,Kalyandurg,Ramaiah,IND,262,166213
1994,Kalyandurg,M. Adeppa,IND,296,166213
1994,Kalyandurg,Chinna Durgappa,IND,375,166213
1994,Kalyandurg,Jenne Anjineyulu,BSP,836,166213
1994,Kalyandurg,Balaram,BJP,1101,166213
1994,Kalyandurg,M. Lakshmidevi,INC,28983,166213
1994,Kalyandurg,B.C. Govindappa,TDP,85061,166213
1999,Kalyandurg,A. Kullayappa,IND,108,183840
1999,Kalyandurg,B. Govindappa,IND,181,183840
1999,Kalyandurg,S. Yenjarappa,IND,256,183840
1999,Kalyandurg,H. Thimmappa,IND,282,183840
1999,Kalyandurg,M. Ananthamma,IND,334,183840
1999,Kalyandurg,M. Yerriswamy,IND,353,183840
1999,Kalyandurg,M. Krishnaiah,PPOI,429,183840
1999,Kalyandurg,P. Vannurappa,IND,534,183840
1999,Kalyandurg,B. Sudharshan,BJRP,1369,183840
1999,Kalyandurg,H. Nagaraju,ATDP,6919,183840
1999,Kalyandurg,K.B. Shanthi Shivaji,INC,44931,183840
1999,Kalyandurg,A. Saradamba,TDP,67813,183840
2004,Kalyandurg,R.Gangaraju,IND,641,196478
2004,Kalyandurg,H.Vannurappa,IND,790,196478
2004,Kalyandurg,M.Suresh Babu,IND,1341,196478
2004,Kalyandurg,A. Kullayappa,IND,1467,196478
2004,Kalyandurg,Sugepalli Umadevi,INC,66711,196478
2004,Kalyandurg,B.C. Govindappa,TDP,76363,196478
1978,Singanamala,Asavadi Jagajjeevan,IND,1434,88391
1978,Singanamala,N. Sivasankar,INC,2016,88391
1978,Singanamala,Katappagari Ananda Rao,INC(I),16758,88391
1978,Singanamala,B. Rukmani Devi,JNP,20385,88391
1983,Singanamala,Pujari Varadarajulu,JNP,786,93726
1983,Singanamala,K. Ananda Rao,INC,19318,93726
1983,Singanamala,P. Gurumurthy,IND,38221,93726
1985,Singanamala,Asadi Naganhushanam,IND,131,103324
1985,Singanamala,Mallepula Yerriswamy,IND,374,103324
1985,Singanamala,Kailasam Ananda Rao,IND,1429,103324
1985,Singanamala,P. Samanthakamani,INC,19990,103324
1985,Singanamala,K. Jayaram,TDP,34202,103324
1989,Singanamala,Meesala Pedda Narayana Alias Abbenna,IND,100,131231
1989,Singanamala,Mantrigari Chinna Nallappa,IND,188,131231
1989,Singanamala,Harijana Dasari Subbaiah,IND,205,131231
1989,Singanamala,Peddapuri Ramiah,IND,459,131231
1989,Singanamala,Juturu Yernagappa,IND,471,131231
1989,Singanamala,J. Channappa,IND,515,131231
1989,Singanamala,Nukathati Muneppa,IND,650,131231
1989,Singanamala,B.C. Govindappa,TDP,35698,131231
1989,Singanamala,P. Samanthakamani,INC,42777,131231
1994,Singanamala,Ramanjaneyulu,IND,518,141294
1994,Singanamala,Bandi Nallappa,BSP,753,141294
1994,Singanamala,Mendava Ramaiah,IND,1064,141294
1994,Singanamala,Pratap Sagar,BJP,1175,141294
1994,Singanamala,N. Muneppa,IND,1211,141294
1994,Singanamala,P. Samanthakamani,INC,18337,141294
1994,Singanamala,K. Jayaram,TDP,65535,141294
1999,Singanamala,N. Muneppa,IND,274,155039
1999,Singanamala,Tarimela Nallappa,MCPI(S),557,155039
1999,Singanamala,O.Nallappa,CPM,2652,155039
1999,Singanamala,S. Sairam,INC,43020,155039
1999,Singanamala,K. Jayaram,TDP,47310,155039
2004,Singanamala,Nadimidoddi Peddaiah,IND,760,160557
2004,Singanamala,Gangadhar,IND,1093,160557
2004,Singanamala,Mundlapati Ramanamma,IND,1095,160557
2004,Singanamala,Muchukota Anand Kumar,BSP,3036,160557
2004,Singanamala,Pamidi Samanthaka Mani,TDP,51443,160557
2004,Singanamala,Sake Sailajanath,INC,60029,160557
2009,Singanamala,Ramamurthy Dasari,CPI(ML)(L),294,197716
2009,Singanamala,P Peddanna,PP,348,197716
2009,Singanamala,M Obulapathi,IND,496,197716
2009,Singanamala,M Chandrappa,IND,556,197716
2009,Singanamala,A Naga Nallaiah,IND,609,197716
2009,Singanamala,Kullayappa Midde,IND,720,197716
2009,Singanamala,Mudigubba Lakshmanna,IND,1094,197716
2009,Singanamala,Y K Viswanath,TPPP,1200,197716
2009,Singanamala,Harijana Chandrasekhar,BSP,1664,197716
2009,Singanamala,Mallichetty Peddanna,BJP,2247,197716
2009,Singanamala,Jayaram Kothapalli,PRAP,12689,197716
2009,Singanamala,Pamidi Samanthaka Mani,TDP,62191,197716
2009,Singanamala,Sake Sailajanath,INC,65367,197716
2014,Singanamala,Y. Rajagopal,RPS,112,422578
2014,Singanamala,P.N. Vara Prasad,AIMIM,147,422578
2014,Singanamala,Bandaru. Chandrasekhar,IND,168,422578
2014,Singanamala,M. Raghu Ramanjineyulu,IND,172,422578
2014,Singanamala,K. Obulesu,IND,190,422578
2014,Singanamala,C. Vinod,IND,266,422578
2014,Singanamala,Y.K. Viswanath,MASP,307,422578
2014,Singanamala,M. Venkata Krishnaiah,IND,309,422578
2014,Singanamala,K. Silas,IND,495,422578
2014,Singanamala,Bandaru Ramanjineyulu,JASPA,683,422578
2014,Singanamala,None Of The Above,NOTA,710,422578
2014,Singanamala,Kondamallela Nagendra,LSP,1016,422578
2014,Singanamala,Singanamala. Parandama,BSP,1598,422578
2014,Singanamala,Sake Sailajanath,INC,2176,422578
2014,Singanamala,Jonnalagadda Padmavathy,YSRCP,82095,422578
2014,Singanamala,B. Yamini Bala,TDP,86679,422578
1978,Uravakonda,Mruthyunjaya Rao Karnam,IND,2881,93793
1978,Uravakonda,Bukkitla Basappa,IND,4838,93793
1978,Uravakonda,Sanda Nayayanappa,JNP,6953,93793
1978,Uravakonda,P.Venkata Narayana,INC,14357,93793
1978,Uravakonda,R.Vemanna,INC(I),34344,93793
1983,Uravakonda,Rayala Vemanna,INC,26748,98861
1983,Uravakonda,Y. Bheema Reddy,IND,41826,98861
1985,Uravakonda,Nallapareddy Ramanareddy,IND,395,109928
1985,Uravakonda,A. Buden Sab,IND,744,109928
1985,Uravakonda,V. Gopi Nath,INC,29014,109928
1985,Uravakonda,Gurram Narayanappa,TDP,38390,109928
1989,Uravakonda,Penabadi Varada Raju,IND,692,133752
1989,Uravakonda,Gurram Narayanappa,TDP,35723,133752
1989,Uravakonda,V. Gopi Nath,INC,52365,133752
1994,Uravakonda,Sat Prasad,IND,74,138202
1994,Uravakonda,Bheemalingaiah,IND,163,138202
1994,Uravakonda,A. Ramamohan,IND,267,138202
1994,Uravakonda,V. Ramanjaneyulu,IND,277,138202
1994,Uravakonda,Kothapalli Yerriswamy,IND,391,138202
1994,Uravakonda,K. Laleppa,BJP,719,138202
1994,Uravakonda,Pullaiah,INC,9528,138202
1994,Uravakonda,Y. Sivarami Reddy,IND,32615,138202
1994,Uravakonda,Kesanna,TDP,50306,138202
1999,Uravakonda,Yellareddygari Venkatarama Reddy,IND,114,154310
1999,Uravakonda,Pottipadu Ravindra Reddy,IND,198,154310
1999,Uravakonda,Nettyam Siva Kumar,IND,343,154310
1999,Uravakonda,Smt. Gaduputi Leelavathi,PPOI,421,154310
1999,Uravakonda,Singamaneni Sreeramulu,IND,441,154310
1999,Uravakonda,Gonuguntla Sreenivasulu,ATDP,489,154310
1999,Uravakonda,Payyavula Keshav,TDP,45562,154310
1999,Uravakonda,Yellareddy Gari Sivarama Reddy,INC,54063,154310
2004,Uravakonda,Vankalapathi Mohan,IND,404,151992
2004,Uravakonda,Yallareddigari Madhusudana Reddy,IND,406,151992
2004,Uravakonda,V.Parandama Chowdary,IND,477,151992
2004,Uravakonda,K.B.Chakradhari,IND,559,151992
2004,Uravakonda,S.Vijaya Baskar,IND,809,151992
2004,Uravakonda,G.Venkatesu,PPOI,1696,151992
2004,Uravakonda,Y Visweswara Reddy,CPI(ML)(L),47501,151992
2004,Uravakonda,Payyavula Keshav,TDP,55756,151992
2009,Uravakonda,Devineni Prakash,IND,202,187323
2009,Uravakonda,K. Ramireddy,IND,223,187323
2009,Uravakonda,Bandari Sunkanna,IND,226,187323
2009,Uravakonda,D. Shivakumar,PPOI,295,187323
2009,Uravakonda,H. Lakshmanna,TPPP,300,187323
2009,Uravakonda,Vadde Narayanaswamy,IND,477,187323
2009,Uravakonda,Vasikeri Shiva Prasad,IND,838,187323
2009,Uravakonda,K.B. Sreenivasulu,IND,1175,187323
2009,Uravakonda,Mendla Prabhakar,BSP,1692,187323
2009,Uravakonda,Gurram.Chennakeshava Rao,PRAP,8255,187323
2009,Uravakonda,Y Visweswara Reddy,INC,64499,187323
2009,Uravakonda,Payyavula Keshav,TDP,64728,187323
2014,Uravakonda,M. Jaya Praksh Naidu,IND,152,386998
2014,Uravakonda,Molaka Bala Ramanjineyulu,IND,202,386998
2014,Uravakonda,G. Sudhakar Reddy,IND,232,386998
2014,Uravakonda,C.Somasekhar Reddy,IND,235,386998
2014,Uravakonda,Nara Narapa Reddy,RPS,273,386998
