name,mandal,year,age,area,community,edu,electioncat,occupation,party,sex,electedas
Buke Laxmi Narayana Naik,Gandlapenta,2001,,Chamalagondi,,,,,INC,,MPTC
Manchipakula Narsimulu,Gandlapenta,2001,,Somayajulapalli,,,,,TDP,,MPTC
Bosetti Padmavathamma,Gandlapenta,2001,,Katarupalli,,,,,INC,,MPTC
Kutagulla Badharvali,Gandlapenta,2001,,Gandlapenta,,,,,TDP,,MPTC
Goddu Velagala Mamatha,Gandlapenta,2001,,Godduvellagala,,,,,TDP,,MPTC
C Kondaiah,Gandlapenta,2001,,Malameedapalli,,,,,TDP,,MPTC
Appireddy Padmaja,Gandlapenta,2001,,Veparalla,,,,,TDP,,MPTC President
Kondalammela Nagamma,Garladinne,2001,,Kallur 1,,,,,TDP,,MPTC
S Chithambari,Garladinne,2001,,Muntimadugu,,,,,TDP,,MPTC
Jaggala Kanthamma,Garladinne,2001,,Kallur 2,,,,,TDP,,MPTC
Ramanjaneyulu,Garladinne,2001,,Illur,,,,,TDP,,MPTC
Chekkala Naganna,Garladinne,2001,,Marthadu,,,,,INC,,MPTC
Thadimari Nagalaxmi,Garladinne,2001,,Kotanka,,,,,INC,,MPTC
Y Sridevi,Garladinne,2001,,Budedu,,,,,TDP,,MPTC
Penukonda Narayana,Garladinne,2001,,Penakacherla,,,,,INC,,MPTC
J Anil Kumar Reddy,Garladinne,2001,,Yerraguntla,,,,,INC,,MPTC
Molakathala Sudhakar Reddy,Garladinne,2001,,Garladinne,,,,,INC,,MPTC
T Pradeep Reddy,Garladinne,2001,,Kanampalli,,,,,TDP,,MPTC President
Raghulapadu Raghunandana Reddy,Garladinne,2001,,Kamalapuram,,,,,INC,,MPTC
Pannarsu  Kadirappa,Gooty,2001,,Yerragudi,,,,,TDP,,MPTC
Pogula Anjali,Gooty,2001,,Chetnepalli 4,,,,,IND,,MPTC
Ramachandra,Gooty,2001,,Bethapalli,,,,,INC,,MPTC
Suripogula Veeranna,Gooty,2001,,Gooty 3,,,,,INC,,MPTC
Nadipi Ramakrishnamma,Gooty,2001,,Bastarapalli,,,,,CPM,,MPTC
Pothula Renuka,Gooty,2001,,Abbedoddi,,,,,TDP,,MPTC
Majjiga Anjineyulu,Gooty,2001,,Thurakapalli,,,,,IND,,MPTC
Yampalaku Rajanna,Gooty,2001,,Jakkalacheruvu,,,,,INC,,MPTC
Suddala Ramachandradu,Gooty,2001,,Thondapadu,,,,,INC,,MPTC
E Chandragiri Haridasu,Gooty,2001,,Chetnepalli 3,,,,,IND,,MPTC
Boya Krishnaveni,Gooty,2001,,Gooty 1,,,,,INC,,MPTC
Lakshimathamma,Gooty,2001,,Gooty 2,,,,,INC,,MPTC
Mandla Ramanjinamma,Gooty,2001,,Chetnepalli 1,,,,,IND,,MPTC
E Ramakrishna,Gooty,2001,,Ubicherla,,,,,TDP,,MPTC
Sreepathinaidu S,Gooty,2001,,Karidikonda,,,,,TDP,,MPTC
Thapila Venkatesulu Naidu,Gooty,2001,,Peddoddi,,,,,TDP,,MPTC
Kona Muralidhar Reddy,Gooty,2001,,Gooty 4,,,,,INC,,MPTC President
Khaja Mainoddin,Gooty,2001,,Gooty 5,,,,,TDP,,MPTC
Beldar Sreeramulu,Gooty,2001,,Gooty 6,,,,,INC,,MPTC
Bommireddy Jayakrishna Reddy,Gooty,2001,,Chetnepalli 2,,,,,TDP,,MPTC
Savithri Bai,Gorantla,2001,,Vanavolu 1,,,,,TDP,,MPTC
Pala Jayaram Naik,Gorantla,2001,,Mandalapalli 1,,,,,INC,,MPTC
B Hanumakka,Gorantla,2001,,Palasamudram,,,,,TDP,,MPTC
M Kristappa,Gorantla,2001,,Gorantla 4,,,,,TDP,,MPTC
Sankara Konda Venkata Narsamma,Gorantla,2001,,Kondapuram,,,,,TDP,,MPTC
Edagoti Nanjamma,Gorantla,2001,,Reddicheruvupalli,,,,,TDP,,MPTC
Venkataramappa,Gorantla,2001,,Budili,,,,,INC,,MPTC
Gorla Nagabhushnam,Gorantla,2001,,Gownivaripalli,,,,,TDP,,MPTC
V Narayanappa,Gorantla,2001,,Mallepalli,,,,,TDP,,MPTC
Sugunamma,Gorantla,2001,,Gangampalli,,,,,TDP,,MPTC
Sundaramma,Gorantla,2001,,Vodigepalli,,,,,TDP,,MPTC
E Renuka Devi,Gorantla,2001,,Gorantla 1,,,,,TDP,,MPTC President
P Govindamma,Gorantla,2001,,Gorantla 2,,,,,TDP,,MPTC
H Allabaksh,Gorantla,2001,,Gorantla 3,,,,,TDP,,MPTC
C Rajagopal Reddy,Gorantla,2001,,Kommavariapalli,,,,,TDP,,MPTC
Mallaballi Suseelamma,Gorantla,2001,,Puleru,,,,,TDP,,MPTC
Jampula Venugopal,Gorantla,2001,,Vanavolu 2,,,,,TDP,,MPTC
Seenappa,Gorantla,2001,,Mandalapalli 2,,,,,TDP,,MPTC
B H Geetha,Gudibanda,2001,,Rallapalli 1,,,,,INC,,MPTC
Narsimhappa,Gudibanda,2001,,Rallapalli 2,,,,,INC,,MPTC President
Narsaiah,Gudibanda,2001,,Muthukur,,,,,INC,,MPTC
Nagamma,Gudibanda,2001,,Jambulabanda,,,,,INC,,MPTC
Akumalla Raju,Gudibanda,2001,,Gudibanda 1,,,,,INC,,MPTC
B Muddanna,Gudibanda,2001,,Morubagal 2,,,,,TDP,,MPTC
Bashappa,Gudibanda,2001,,Gunemorubagal,,,,,INC,,MPTC
Chinna Laxmamma,Gudibanda,2001,,Karikera,,,,,INC,,MPTC
Basagari  Nagamma,Gudibanda,2001,,K Nagepalli,,,,,INC,,MPTC
D Manjunath,Gudibanda,2001,,Gudibanda 2,,,,,INC,,MPTC
K Purushotam,Gudibanda,2001,,Morubagal 1,,,,,TDP,,MPTC
Sulappa,Gudibanda,2001,,Mandalapalli,,,,,INC,,MPTC
Erranna,Gudibanda,2001,,Konkallu,,,,,INC,,MPTC
Marekka,Gummagatta,2001,,Tallakera 2,,,,,INC,,MPTC
Harijana Mareppa,Gummagatta,2001,,Kalugodu 2,,,,,INC,,MPTC
Obamma,Gummagatta,2001,,Gummagatla,,,,,INC,,MPTC
B.Yellappa,Gummagatta,2001,,Tallakera  1,,,,,INC,,MPTC
Govindappa,Gummagatta,2001,,Bhupasamudram,,,,,TDP,,MPTC
Matham Hanumanthappa,Gummagatta,2001,,Belodu,,,,,INC,,MPTC
Golla Kechamma,Gummagatta,2001,,Pulakunta,,,,,INC,,MPTC
Bali Reddi,Gummagatta,2001,,Kalugodu 1,,,,,INC,,MPTC
Raghava Reddi,Gummagatta,2001,,Galagala,,,,,INC,,MPTC President
Thppe Rudrappa,Gummagatta,2001,,Gollapalli,,,,,INC,,MPTC
S Govindamma,Guntakal,2001,,Nelagonda,,,,,INC,,MPTC
M Nettikallu,Guntakal,2001,,Kasapuram,,,,,TDP,,MPTC
Sunkamma,Guntakal,2001,,Konaganapalli,,,,,TDP,,MPTC
