mandal,area,name,party
Nallacheruvu,P Kothapalli,Kurukuru Niranjana Reddy,INC
Nallacheruvu,Thavalamarri,Gandipalli Nagabhushna Reddy,TDP
Nallacheruvu,Talamarlavandlapalli,Nallabothu Nagabhushana,TDP
Nallamada,Nallamada-II,D Kulli Naik,INC
Nallamada,Donnikota,Boppala Sri Ramulu,INC
Nallamada,Kurumala,Nunna Sivamma,INC
Nallamada,Gopepalli,Agisam Pratap,INC
Nallamada,Charupalli,Kothakota Nagappa,INC
Nallamada,Pulagampalli,T Laxmi Devamma,INC
Nallamada,Enumulavaripalli / Pathabathal,Agisam Varalaxmamma,INC
Nallamada,Vellamaddi,S Shakunthalamma,TDP
Nallamada,Nallamada-I,M Venkataramanappa,TDP
Nallamada,Reddipalli,Thalamarla Venkataramana,TDP
Nallamada,Vankarakunta,A Kullai Reddy,TDP
Narpala,Narpala-II,Pedda Lakshmi,INC
Narpala,H Sodanapalli,Barika Peddanna,INC
Narpala,Venkatampalli,Lakshmi Devi,TDP
Narpala,Nadimidoddi,Venkataramudu,TDP
Narpala,Chamalur,Narappa,INC
Narpala,Bondalawada,Alam Chennappa Naidu,TDP
Narpala,Duggumarri,Venkatalakshmamma,INC
Narpala,Narpala-3,P Sivalakshmamma,TDP
Narpala,Bandalapalli,Gavireddy  Lakshminarayanamma,TDP
Narpala,B Papur,N Sadasivanaidu,TDP
Narpala,Ganganapalli,Anthapu Sreeramireddy,INC
Narpala,Gugudu,Nallapati Umapathi,TDP
Narpala,Narpala - 1,N Satyanarayana Reddy,INC
O D Cheruvu,Kondakamarla - I,Kire Naik,TDP
O D Cheruvu,T Kuntlapalli,Kanakanti Ullakka,TDP
O D Cheruvu,Inagalur,Yarla Chinnamma,CPI
O D Cheruvu,Chintamanipalli,Malmakula Gurramma,INC
O D Cheruvu,Allapalli,Komiri Muneppa,INC
O D Cheruvu,Kondakamarla - II,Devarabai Laxmi Narayana,INC
O D Cheruvu,Thangedukunta,Beedireddy Saralamma,TDP
O D Cheruvu,Venkatapuram,Bollapalli Ramakrishnamma,TDP
O D Cheruvu,Daburuvaripalli,Nirmalamma,INC
O D Cheruvu,Sunnampalli,Malaka Aswartha Reddy,INC
O D Cheruvu,O D Cheruvu,Akuthotha Vasundara,INC
O D Cheruvu,Mittiapalli,Shaik Hyder Vali,INC
O D Cheruvu,Thippepalli,Untla Raghunath Reddy,TDP
Pamidi,Palyam,Badri Naik,INC
Pamidi,Yeddulapalli,Ramajinamma,INC
Pamidi,Khaderpeta,Harijanamadlapeda Sunkanna,TDP
Pamidi,Gajarampalli,Jangam Laxmi Devi,INC
Pamidi,Pamidi - 12,T Parwathi Bai,INC
Pamidi,Pamidi-9,Javalakera Jaganatharao,BJP
Pamidi,Ramagiri,Thunga Nagappa,INC
Pamidi,Venkarajukalva,B Guru Das,TDP
Pamidi,G Kottala,Laxmi Devi,TDP
Pamidi,Pamidi-13,B Sulochanamma,INC
Pamidi,Ramarajupalli,Yaparla Ranga Reddy,INC
Pamidi,Pamidi-10,N V S Vasundhara Devi,INC
Pamidi,Pamidi-11,B Srinivas Reddy,TDP
Parigi,Parigi III,Laxmi Devamma,INC
Parigi,Parigi II,T Govindappa,INC
Parigi,Moda  I,Pujanna,INC
Parigi,Seegipally,Rajeswari,TDP
Parigi,Utakur,G Ashvathappa,TDP
Parigi,Kodigenahalli - I,Venkampalli Srinivasulu,INC
Parigi,Narsapuram,Nagarthnamma,TDP
Parigi,Sasanakota,R Indiramma,TDP
Parigi,Sirekolam,Jayamma,IND
Parigi,Beechiganipally,B Babi Reddy,TDP
Parigi,Parigi I,P Venkata Reddy,INC
Parigi,Moda II,Ashwarthanarayana,TDP
Parigi,Kodiganahalli II,C B Ravindra,INC
Peddapappur,Muchukota,T Nagarathna,INC
Peddapappur,Peddayekkalur,Chinna Pullaiah,INC
Peddapappur,Peddapappur,Kondamla Sarojam,TDP
Peddapappur,K Narasapuram,N Narayana Swamy,INC
Peddapappur,Kummetha,Punja Subbaiah,TDP
Peddapappur,Ammalladinne,U Runminamma,INC
Peddapappur,Somanapalli,K Sai Mohan,INC
Peddapappur,Thabjila,G Chinna Obulesu Reddy,TDP
Peddapappur,Jutur,J C Chintharanjan Reddy,TDP
Peddavadugur,Penakalapadu,H Lakshmi Narayanamma,TDP
Peddavadugur,Peddavadugur,R Yellappa,CPI
Peddavadugur,Virupapuram,Pothula Kamalamma,TDP
Peddavadugur,Chitrachedu,B Peddaranganna,INC
Peddavadugur,Kristipadu,Kuruba Subbanna,INC
Peddavadugur,Medimakulapalli,Smt P Noorjahan,TDP
Peddavadugur,Gooty-Anantapur,P Nageswaramma,IND
Peddavadugur,Mallenipalli,M Jayalakshmi,TDP
Peddavadugur,Appecherla,C Vijayabhaskar Reddy,INC
Peddavadugur,Dimmagudi,Smt M K Lakshmi Bai,TDP
Peddavadugur,Ravuludiki,Chittemreddy Rajasekhar Reddy,TDP
Penukonda,Nagalur,Subbe Naik,TDP
Penukonda,Venkatareddipalli,M P Muthyalamma,TDP
Penukonda,Mavatur,Ramanjanappa,TDP
