mandal,area,name,party,electioncat,communicaty,edu,age,sex,occupation,year
Gudibanda,Mandalapalli-I,Bhagyamma,INC,BCW,Golla,,28,F,,2006
Gudibanda,Mandalapalli-II,Lakshmidevi,INC,BCW,Chakali,SSLC,30,F,,2006
Gudibanda,Morubagal-I,Basavaraju,INC,SCG,Madiga,Inermediate,36,M,Farmer,2006
Gudibanda,Morubagal-II,Narasimhamurthy,INC,SCG,Madiga,SSC,40,M,Farmer,2006
Gudibanda,Muthukuru,Narasamma,INC,URG,Kapu,,61,F,,2006
Gudibanda,Rallapalli-I,K.Babanna,INC,BCG,Kummari,SSC,46,M,Farmer,2006
Gudibanda,Rallapalli-II,Lakshmamma,INC,URW,Kapu,,39,F,,2006
GUMMAGATTA,BHOOPA SAMUDRAM,G.V.RADHA,INC,URW,,PUC,25,F,AGRICULTURE,2006
GUMMAGATTA,GALAGALA,OBAIAH,INC,B.C (G)`,-,,27,M,AGRICULTURE,2006
GUMMAGATTA,GOLLA PALLI,SATYA BHAMA,TDP,URW,,PUC,24,F,AGRICULTURE,2006
GUMMAGATTA,GONABAVI,DURGAPPA,INC,S.C.(G),-,,49,M,AGRICULTURE,2006
GUMMAGATTA,GUMMAGATTA,GIRI MALLAPPA,TDP,URG,,VII CLASS,49,M,AGRICULTURE,2006
GUMMAGATTA,KALUGODU-I,GOVINDAPPA,TDP,B.C GENERAL -,,VII CLASS,34,M,AGRICULTURE,2006
GUMMAGATTA,KALUGODU-II,YASODAMMA,INC,B.C WOMEN,-,V CLASS,23,F,AGRICULTURE,2006
GUMMAGATTA,NETRAPALLI,GUNDAMMA,INC,URW,,,29,F,AGRICULTURE,2006
GUMMAGATTA,PULAKUNTA,THIMMAPPA,TDP,B.C (G),-,III CLASS,49,M,AGRICULTURE,2006
GUMMAGATTA,SIRIGE DODDI,MAREKKA,TDP,B.C (W),-,,47,F,AGRICULTURE,2006
GUMMAGATTA,TALLAKARA-I,DURUGAMMA,INC,S.C (W),-,,47,F,AGRICULTURE,2006
GUMMAGATTA,THALLAKERA-II,THMMALAPURAM RAMI REDDY,INC,URG,,V CLASS,49,M,AGRICULTURE,2006
Guntakal,Ayyavaripalli,E.Govindappa,INC,STG,YERIKALA,,27,M,,2006
Guntakal,Dosaludliki,Nagesamma,TDP,,MADIGA,,34,M,,2006
Guntakal,G.Kottala,A.Ranganayakulu,TDP,,GOLLA,10th class,22,M,,2006
Guntakal,Kasapuram,G.Venkataramudu,INC,,BOYA,Intermediate,23,M,,2006
Guntakal,Konganapalli,Venkataramudu,TDP,,KAPU,Intermediate,50,M,,2006
Guntakal,Molakalapenta,Veera Hanumanna,TDP,,BOYA,,58,M,,2006
Guntakal,N.Venkatampalli,Nagappa,TDP,,GOLLA,10th class,34,M,,2006
Guntakal,Nagasamudram,E.Chandravani,INC,,EDIGA,10th class,22,F,,2006
Guntakal,Nakkanadoddi,Patil Manjula,TDP,,KAPU,10th class,34,F,,2006
Guntakal,Nelagonda,Nagabhushanam,TDP,,KAMMA,Intermediate,54,M,,2006
Guntakal,P.K.Cheruvu,Chandrakalavathi,TDP,,KAPU,10th class,21,F,,2006
Guntakal,Y.T.Cheruvu,M.Balanjineyulu,TDP,,MALA,Intermediate,32,M,,2006
Hindupur,Balampalli,Ramalakshmamma,INC,BCW,,,54,F,,2006
Hindupur,Bevenahalli,G.A.Mallesappa,INC,BCG,,10th,29,M,,2006
Hindupur,Chalivendula,G.Ramachandra,TDP,BCG,,10th,34,M,Farmer,2006
Hindupur,Chowlur,Narasamma,TDP,SCW,,7th,34,F,,2006
Hindupur,Gollapuram,D.Bharathamma,INC,BCW,,PUC,24,F,,2006
Hindupur,Kaggallu,Reddeppa Reddy,TDP,URG,Kapu,7th,26,M,,2006
Hindupur,Kirikera I,N.S.Suryaprakash,TDP,BCG,,7th,48,M,,2006
Hindupur,Kirikera II,S.Anjineyulu,INC,BCG,,10th,35,M,,2006
Hindupur,Kotipi,S.Narasimhamurthy,TDP,SCG,,Intermediate,22,M,,2006
Hindupur,M.Beerepalli,B.Jayamma,INC,,Kapu,2nd,34,F,,2006
Hindupur,Maluguru,Chinna Narasimhulu,TDP,BCG,,BA,33,M,,2006
Hindupur,Santhebidanur,P.S.Anjappa,TDP,BCG,,9th,32,M,,2006
Hindupur,Thumukunta,Gangamma,INC,BCW,,5th,41,F,,2006
KADIRI,CHALAMAKUNTLA PALLI,K.CHAKRA VARTHAN REDDY,TDP,URG,KAPU,SSC,30,M,BUSINESS,2006
KADIRI,EGUVAPALLI,Y.RAMAPPA,TDP,SCG,,,45,M,CULTIVATION,2006
KADIRI,KADIRI BRAMHANA PALLI,B.VENKATARAMANA,TDP,BCG,MANGALA,5TH,39,M,BUSUNESS,2006
KADIRI,KADIRI RURAL,JOLLU NIRMALAMMA,TDP,BCW,GOLLA,5TH,26,F,CULTIVATION,2006
KADIRI,KALA SAMUDRAM,P.CHENNA KESAVA REDDY,TDP,URG,,10TH,34,M,CULTIVATION,2006
KADIRI,MOTUKUPALLI,B.SHANTHI BAI,TDP,STW,SUGALI,,37,F,,2006
KADIRI,MUTHYALACHERUVU,L.SHIVA SHANKAR REDDY,INC,URG,KAPU,BSC,44,M,BUSINESS,2006
KADIRI,PATNAM,V.VENKATA CHALAPATHI NAIK,INC,STG,SUGALI,SSC,28,M,CULTIVATION,2006
KADIRI,YERRA DODDI,D.ARAVINDAMMA,TDP,URW,VADDI,,31,F,,2006
KALYANDURG,CHAPIRI,Chowla Mallikarjuna,TDP,,,9TH,47,M,AGRICULTURE,2006
KALYANDURG,DODAGATTA,A.Narayana,TDP,,,BA,35,M,AGRICULTURE,2006
KALYANDURG,DURADAKUNTA,K.Donaswamy,INC,,,,39,M,AGRICULTURE,2006
KALYANDURG,EAST KODI PALLI,Thippamma,TDP,STW,,2ND CLASS,34,F,AGRICULTURE,2006
KALYANDURG,GARUDAPURAM,D.Ramanjineyulu,TDP,BCG,,5TH,49,M,AGRICULTURE,2006
KALYANDURG,GOLLA,Harijana Narasimhulu,TDP,SCG,,5TH,39,M,AGRICULTURE,2006
KALYANDURG,HULLIKALLU,Maddipatla Chennarayudu,TDP,,,5TH,54,M,AGRICULTURE,2006
KALYANDURG,KALYANDURG-I,B.Somasekhar,INC,BCG,,10TH,31,M,AGRICULTURE,2006
KALYANDURG,KALYANDURG-II,B.Ramalakshmi,TDP,URW,,2ND,33,F,AGRICULTURE,2006
KALYANDURG,KALYANDURG-III,M.Murali,TDP,,,BSC,37,M,AGRICULTURE,2006
KALYANDURG,KALYANDURG-IV,B.K.Madhavi,TDP,BCW,,BA,24,F,AGRICULTURE,2006
KALYANDURG,KALYANDURG-V,B.Shirisha,INC,URW,,10TH,28,F,AGRICULTURE,2006
KALYANDURG,KALYANDURG-VI,M.Krishnaveni,TDP,,,BA,28,F,AGRICULTURE,2006
KALYANDURG,KALYANDURG-VII,Saraswathi,INC,SCW,,SSLC,58,F,AGRICULTURE,2006
KALYANDURG,KALYANDURG-VIII,P.Sreenivasulu,TDP,,,9TH,38,M,AGRICULTURE,2006
KALYANDURG,KOTTURU,Golla Kadirappa,TDP,BCG,,SSC,39,M,AGRICULTURE,2006
KALYANDURG,MANIREVU,Kondanna,TDP,BCG,,BA,39,M,AGRICULTURE,2006
KALYANDURG,MUDDINAYANANA PALLI,H.Vannurswamy,INC,SCG,,7TH,47,M,AGRICULTURE,2006
KALYANDURG,MUDIGALLU,Goridindla Raghunathareddy,INC,,,BETECH,35,M,AGRICULTURE,2006
KALYANDURG,NARAYANAPURAM,B.Sujatha,TDP,URW,,7TH,27,F,AGRICULTURE,2006
KALYANDURG,ONTIMIDDI,Jayappa,INC,,,10TH,32,M,AGRICULTURE,2006
KALYANDURG,PALAVAI,Boya Lakshmikantha,INC,BCW,,7TH,24,F,AGRICULTURE,2006
KALYANDURG,THIMMA SAMUDRAM,Hanumanthappa,INC,,,SSLC,54,M,AGRICULTURE,2006
KAMBADUR,CHENNAM PALLI,Talari Narasimhulu,TDP,URG,BOYA,SSC,32,M,AGRICULTURE,2006
KAMBADUR,KAMBADUR-I,Gowramma,TDP,URW,KAMMA,5TH,59,F,AGRICULTURE,2006
KAMBADUR,KAMBADUR-II,Bhavani,TDP,URW,BALIJA,SSC,34,F,AGRICULTURE,2006
KAMBADUR,KAMBADUR-III,Gangappa,TDP,SCG,,5TH,47,M,AGRICULTURE,2006
KAMBADUR,KAMBADUR-IV,Venkatappa,INC,BCG,,10TH,44,M,AGRICULTURE,2006
KAMBADUR,KARTHENAPARTHY,Thirumalamma,INC,BCW,,5TH,66,F,AGRICULTURE,2006
KAMBADUR,KURAKULA PALLI,K.Thimmappa,TDP,SCG,,5TH,46,M,AGRICULTURE,2006
KAMBADUR,MARIMAKULA PALLI,Thimmarayudu,INC,BCG,,SSC,36,M,AGRICULTURE,2006
KAMBADUR,NUTHIMADUGU,Pathakka,TDP,SCW,,5TH,21,F,AGRICULTURE,2006
KAMBADUR,PALLUR,Venkata Naik,TDP,STG,,5TH,26,M,AGRICULTURE,2006
KAMBADUR,RALLA ANANTAPUR,Pakruddin D,INC,URG,DUDEKULA,9TH,28,M,AGRICULTURE,2006
KAMBADUR,THIMMAPURAM-I,G.Nagaraju,INC,URG,BALIJA,SSC,40,M,AGRICULTURE,2006
KAMBADUR,THIMMAPURAM-II,Syamanna,TDP,BCG,,5TH,40,M,AGRICULTURE,2006
KANAGANAPALLI,DADULUR,G.RAMAKRISHNAIAH,TDP,URG,O.C KAMMA,V CLASS,64,M,CULTIVATION,2006
KANAGANAPALLI,ELAKUNTLA,B.SUBBAIAH,TDP,URG,O.C KAMMA,X CLASS,44,M,CULTIVATION,2006
KANAGANAPALLI,KANAGANAPALLI,SAKE RAMANJINAMMA,TDP,URG,S.C MADIGA,VCLASS,29,F,AGRICULTURE,2006
KANAGANAPALLI,KONAPURAM,K.P.MUTHYALAPPA,TDP,B.C (G),-,V CLASS,31,M,LABOURCULTIVATION,2006
KANAGANAPALLI,KONETI NAYANA PALYAM,H.NAGAMMA,INC,S.C (G),-,,55,F,AGRICULTURE,2006
Kanaganapalli,Maddalacheruvu,Gunthapalli Bhulakshmamma,INC,UR(G),,,,Female,LABOUR,2006
KANAGANAPALLI,MAMILLA PALLI,K.KRISHNAIAH,INC,BC. (G),-,III CLASS,37,M,AGRICULTURE,2006
KANAGANAPALLI,MUTHUVA KUNTLA,B.RAMESH,TDP,B.C(G),-,V CLASS,29,M,LABOURAGRICULTURE LABOUR,2006
KANAGANAPALLI,THOGARAKUNTA,K.MUTHYALAMMA,INC,B.C.(W),-,V CLASS,29,F,AGRICULTURE LABOUR,2006
KANAGANAPALLI,THUMCHERLA,HRIJANA ALIVELAMMA,TDP,S.C(W),-,II CLASS,35,F,AGRICULTURE,2006
Kanekal,Benekal,Vasanthamma,INC,UR(W),,5th class,31,Female House wife,LABOUR,2006
KANEKAL,BRAMHASAMUDRAM,A.RAJAGOPAL REDDY,INC,O.C (G),-,INTER,51,M,FARMER,2006
KANEKAL,GANIGERA,H.SIVAMMA,INC,S.C (W),-,,39,F,AGRICULTURE,2006
Kanekal,Garudachedu,Boya Mulinti Marenna,INC,B.C.(G),,2nd class,28,Male,Farmer,2006
KANEKAL,HANAKANAHAL,VENKATARAMANA REDDY,INC,OC.(G),-,INTER,35,M,FORMER,2006
KANEKAL,HULIKERA,H.VANNAPPA,INC,S.C (G),-,II CLASS,42,M,FORMER,2006
KANEKAL,KALEKURTHY,Y.KRISHNA VENI,TDP,B.C (W),-,V CLASS,21,F,HOUSE WIFE,2006
KANEKAL,KANEKAL-I,SHAHIDA,INC,O.C(W),-,,28,F,FARMER,2006
KANEKAL,KANEKAL-II,G.HANUMAKKA,INC,B.C (W),-,,35,F,FARMER,2006
KANEKAL,KANEKAL-III,B.RAMAMOHAN REDDY,INC,O.C (G),-,X CLASS,49,M,FORMER,2006
KANEKAL,KANEKAL-IV,ERANNA,INC,O.C (G),B.C(UPPARA),XIII CLASS,57,M,FORMER,2006
KANEKAL,KANEKAL-V,U.KUPENDRA,INC,O.C (G),B.C UPPARA,V CLASS,34,M,FORMER,2006
KANEKAL,MALYAM,B.VANNAPPA,INC,B.C(G),-,VII CLASS,47,M,FORMER,2006
KANEKAL,THUMBIGANUR,PRABHAVATHAMMA,INC,O.C(W),-,V CLASS,27,F,FORMER,2006
KANEKAL,YERRAGUNTA-I,CHINNA VANNURAPPA,INC,B.C (G),-,II CLASS,60,M,FARMER,2006
KANEKAL,YERRAGUNTA-II,RAVEENDRA,INC,B.C(G),-,IV CLASS,45,M,FARMER,2006
KOTHA,BANDLAPALLI,Ramakrishnappa,TDP,URG,Kuraba,,50,M,Agrl,2006
CHERUVUKOTHA,BHYRAPURAM,Alivelamma,INC,URW,Kapu,,44,F,Cooly,2006
CHERUVUKOTHA,IRAGAM PALLI,Narayanamma,TDP,URW,Balija,,44,F,Cooly,2006
CHERUVUKOTHA,KADAPAGANIPALLI,C.Ramanna,INC,URG,Boya,8th,54,M,Agrl,2006
CHERUVUKOTHA,KESAPURAM,Nagendra,INC,URG,Kuruba,6th,47,M,Agrl,2006
CHERUVUKOTHA,KOTHACHERUVU -1,S.Sreenivasulu,TDP,URG,Balija,,32,M,Agrl,2006
CHERUVUKOTHA,KOTHACHERUVU -2,Bandlapalli Nagendra,TDP,BCG,Boya,B.Com,28,M,Agrl,2006
CHERUVUKOTHA,KOTHACHERUVU -3,M.Nagamani,TDP,URW,Vadde,,29,F,Tailoring,2006
CHERUVUKOTHA,MEERJAPURAM,S.Obulesu,INC,SCG,SC,,24,M,Agrl,2006
KOTHA,POTHULAKUNTA,P.Sanjeevareddy,TDP,URG,Kapu,8th,34,M,Agrl,2006
CHERUVUKOTHA,TALAMARLA,Lakshmidevi,TDP,BCW,Boya,,34,F,Cooly,2006
CHERUVUKudair,Cholasamudram,TDP,TDP,ST(G),ST,,59,M,Agriculture,2006
Kudair,Gotukuru,K.Bramaiah,TDP,,BC-B,BA LLB,39,M,Agriculture,2006
Kudair,Ipperu,Ediga Adenna,TDP,,BC-B,,39,M,Agriculture Labour,2006
Kudair,Korrakodu,Kamma Aparna,TDP,UR(W),OC,8th class,25,F,Agriculture,2006
Kudair,Kudair-I,Ediga Vijaya Lakshmi,TDP,BC(W),,SSC,22,F,Agriculture,2006
Kudair,Kudair-II,K.Ramachandrappa,INC,BC(G),,8th class,34,M,Agriculture,2006
Kudair,Marutla,H.Lakshmi Devi,INC,SC(W),,,27,F,Agriculture,2006
Kudair,P.Narayanapuram,J.Ramanjinappa,INC,SC(G),SC,5th Class,26,M,Agriculture,2006
Kudair,Thimmapuram,Pujari Jallappa,CPI(M),BC(G),BC,5th Class,26,M,Agriculture,2006
Kudair,Udiripikonda,S.Devendra,INC,,BC-B,MA LLB,31,M,Agriculture,2006
KUNDURPI,APPILEPALLI,T.VIJAYAMMA,TDP,SCW,,,28,F,AGRICULTURE,2006
KUNDURPI,BESTARAPALLI,G.K.SREENIVASULU,INC,URG,,,34,M,AGRICULTURE,2006
KUNDURPI,ENUMULADODDI-I,ESWARAPPA,INC,URG,,,34,M,AGRICULTURE,2006
KUNDURPI,ENUMULADODDI-II,SANJEEVAMMA,INC,BCW,,,44,F,AGRICULTURE,2006
KUNDURPI,JAMBUGAMPALA,L.MAHESWARAMMA,INC,URW,,,34,F,AGRICULTURE,2006
KUNDURPI,KUNDURPI-I,S.MALLIKARJUNA,TDP,BCG,,,48,M,AGRICULTURE,2006
KUNDURPI,KUNDURPI-II,VENKATESA,TDP,BCG,,,30,M,AGRICULTURE,2006
KUNDURPI,MAHANTHA PURAM,DASANNA,CPI,URG,,,49,M,AGRICULTURE,2006
KUNDURPI,MALAYANUR-I,ITUKALA SANNAMMA,INC,URW,,,46,F,AGRICULTURE,2006
KUNDURPI,MALAYANUR-II,SAROJAMMA,INC,BCW,,,21,F,AGRICULTURE,2006
KUNDURPI,NIZAVALLI,MADIVALAPPA,TDP,BCG,,,44,M,AGRICULTURE,2006
KUNDURPI,TENAGALLU,K.MALLIKARJUNA,TDP,URG,,,39,M,AGRICULTURE,2006
KUNDURPI,THUMUKUNTA,G.RAVEENDRA,TDP,,,,30,M,AGRICULTURE,2006
KUNDURPI,YERRAGUNTA,SREENIVASULU,INC,SCG],,,23,M,AGRICULTURE,2006
Lepakshi,Cholasamudram,C.K.Prabhakar Reddy,TDP,,OC,SSC,41,M,Agrl,2006
Lepakshi,Kalluru,B.Lakshminarayana,TDP,BCG,,8th,37,M,Cultivator,2006
Lepakshi,Kanchisamudram,N.Satyamma,TDP,,,5th,21,F,Cooly,2006
Lepakshi,Kodipalli,K.Hanumanthappa,TDP,,BC,8TH,47,M,Agrl,2006
Lepakshi,Konduru,K.Aswarthappa,TDP,BCG,,Intermediate,29,M,Cultivator,2006
Lepakshi,Lepakshi-I,M.Anandakumar,TDP,BCG,,Intermediate,28,M,Agrl,2006
Lepakshi,Lepakshi-II,G.Anjanareddy,INC,URG,OC,SSC,34,M,Cultivator,2006
Lepakshi,Lepakshi-III,D.Santhamma,TDP,BCW,,5TH,44,F,Cultivator,2006
Lepakshi,Manepalli,G.Sankarappa,INC,,OC,Intermediate,37,M,Agrl,2006
Lepakshi,Mydugolam,Jabinabi,INC,,OC,5TH,21,F,Cooly,2006
Lepakshi,Pulamati,K.Hanumanthappa,TDP,SCG,,3RD,39,M,Agrl.,2006
Lepakshi,Sirivaram,T.Gangamma,TDP,,,5TH,37,F,Cooly,2006
Madakasira,Amidalagondi-1,Nagabhushan Reddy,TDP,,Kapu,SSC,34,M,,2006
Madakasira,Bullasamudram,K.Sivanna,INC,BCG,,,45,M,,2006
Madakasira,C.Kodigepalli,BV.Sujatha,INC,BCW,,9th,23,F,,2006
Madakasira,Chandakacherla,lakshmidevamma,TDP,,Kapu,5th,47,F,,2006
Madakasira,Gangulavaipalyam,Gangamma,INC,SCW,,5th,48,F,,2006
Madakasira,Govindapuram,T.Thammegowd,INC,BCG,,5TH,38,M,,2006
Madakasira,Gowdanahalli,Sanna Anjinappa,INC,SCG,,,49,M,,2006
Madakasira,Haresamudram,Kariyanna,INC,BCG,,7th,45,M,,2006
Madakasira,Kallumarri,M.Shalini,INC,,Kapu,SSC,30,F,,2006
Madakasira,Madakasira-1,T.Padmathi,INC,URW,,BA,30,F,,2006
Madakasira,Madakasira-2,H.S. Subhadra,INC,URW,,Intermediate,22,F,,2006
Madakasira,Madakasira-3,Shabanabhanu,INC,,Muslim,Intermediate,44,M,,2006
Madakasira,Madakasira-4,K.R. Kishore,INC,,Vysya,SSC,37,M,,2006
Madakasira,Madakasira-5,Kamalamma,INC,BCW,,,30,F,,2006
Madakasira,Madakasira-6,Malamma,TDP,URW,,,27,F,,2006
Madakasira,Manuru,Sakamma,INC,STW,,,44,F,,2006
Madakasira,Melavoi-1,M.G. Rajanikanth,INC,SCG,,Intermediate,25,M,,2006
Madakasira,Melavoi-2,M.Hanumantharayudu,INC,,,9th,36,M,,2006
Madakasira,Melavoi-3,KC.Chowdappa,INC,,Vakkaliga,Intermediate,37,M,,2006
Madakasira,R.Anantapuram,Kavellappa,INC,BCG,,6TH,32,M,,2006
Madakasira,Y.B.Halli,Nagappa,TDP,BCG,,,32,M,,2006
MUDIGUBBA,CHINNAKOTLA,Agali Lakshmi Narasimha Reddy,INC,UR,,,36,M,,2006
MUDIGUBBA,DORIGALLU-1,M.Arunamma,INC,URW,Boya,5th,21,F,,2006
MUDIGUBBA,DORIGALLU-2,S.P.Kanthamaiah,INC,URG,,8th,45,M,,2006
MUDIGUBBA,DORIGALLU-3,J.Venkata Naraynamma,TDP,URW,OC,,51,F,,2006
MUDIGUBBA,JONNALAKOTHA PALLI,Y.Venkata Reddy,INC,UR,Kapu,BA,46,M,,2006
MUDIGUBBA,KODAVANDLA PALLI,A.A.Kondapaku Nagamma,INC,SCW,Madiga,2nd,33,F,,2006
MUDIGUBBA,KONDAGATTUPALLI,K.Venkatesu,INC,BC,Golla,BA,26,M,,2006
MUDIGUBBA,MALAKAVEMULA,C.Sivanarayana,TDP,BC,Golla,5th,28,M,,2006
MUDIGUBBA,MALLEPALLI- 2,M.Uttamma,TDP,STW,Yerikala,,51,F,,2006
MUDIGUBBA,MALLEPALLI-1,I.Ramalakshmi Reddy,INC,URG,Kapu,7th,29,M,,2006
MUDIGUBBA,MUDIGUBBA-I,S.R.Hasmat Bee,TDP,URW,Muslim,,49,F,,2006
MUDIGUBBA,MUDIGUBBA-II,G.Lakshmi Narayana,TDP,UR,Kamma,INter,38,M,,2006
MUDIGUBBA,MUDIGUBBA-III,K.Narayana swamy,TDP,UR,Kuruba,,44,M,,2006
MUDIGUBBA,MUKTHAPURAM,M.Sreeramulu,TDP,ST,Yerikala,,35,M,,2006
MUDIGUBBA,PEDDACHIGULLAREVU,P.Ramachandra Reddy,TDP,UR,Kapu,10th,28,M,,2006
MUDIGUBBA,PODARALLA PALLI,M.Lakshmi,INC,URW,Kapu,7yh,29,F,,2006
MUDIGUBBA,SANKE PALLI,P.Gangappa,INC,,Madiga,3th,29,M,,2006
N.P.KUNTA,DHANIYAN CHERUVU,SOMALA KUMARA NAIDU,INC,URG,YEKILA,5TH,39,M,AGRICULTURE,2006
N.P.KUNTA,M.K.DINNE,KORRU ANJINAPPA NAIDU,INC,URG,YEKILA,INTER,49,M,AGRICULTURE,2006
N.P.KUNTA,N.P.KUNTA-I,DANDU VIJAYA LAKSHMI,TDP,BCG,THOGATA,INTER,23,F,AGRICULTURE,2006
