year,electedas,name,party,segment,mandal,area,ward,age,community,edu,electioncat,occupation,sex,tot,votes
2014,MLA Candidate,Talari Parusuramudu,JASPA,Guntakal,,,,,,,,,,464250.0,451.0
2014,MLA Candidate,Gaddala Nagabhushanam,BSP,Guntakal,,,,,,,,,,464250.0,486.0
2014,MLA Candidate,D.B.Radhakrishna Yadav,IND,Guntakal,,,,,,,,,,464250.0,668.0
2014,MLA Candidate,Thammineni Pushpa Latha,STR,Guntakal,,,,,,,,,,464250.0,690.0
2014,MLA Candidate,None Of The Above,NOTA,Guntakal,,,,,,,,,,464250.0,717.0
2014,MLA Candidate,Yeruru Mahaboob Basha,AIMIM,Guntakal,,,,,,,,,,464250.0,741.0
2014,MLA Candidate,M. Ramanjaneyulu,IND,Guntakal,,,,,,,,,,464250.0,1106.0
2014,MLA Candidate,S.Rammohan,LSP,Guntakal,,,,,,,,,,464250.0,1302.0
2014,MLA Candidate,K. Prabhakar,INC,Guntakal,,,,,,,,,,464250.0,2251.0
2014,MLA Candidate,Boyagadda Venkatramaiah,BJP,Guntakal,,,,,,,,,,464250.0,3865.0
2014,MLA Candidate,Y. Venkata Rami Reddy,YSRCP,Guntakal,,,,,,,,,,464250.0,76561.0
2014,MLA,R. Jithendra Goud,TDP,Guntakal,,,,,,,,,,464250.0,81655.0
1978,MLA Candidate,Chandragiri Motappa,IND,Rayadurg,,,,,,,,,,98618.0,1499.0
1978,MLA Candidate,Obanaik,INC,Rayadurg,,,,,,,,,,98618.0,8277.0
1978,MLA Candidate,Uddihal Motappa,JNP,Rayadurg,,,,,,,,,,98618.0,26363.0
1978,MLA,K.B.Chennamllappa,INC(I),Rayadurg,,,,,,,,,,98618.0,31591.0
1983,MLA Candidate,Sugali Megya Naik,IND,Rayadurg,,,,,,,,,,106986.0,129.0
1983,MLA Candidate,Motappa,IND,Rayadurg,,,,,,,,,,106986.0,659.0
1983,MLA Candidate,B. Thippaiah,IND,Rayadurg,,,,,,,,,,106986.0,666.0
1983,MLA Candidate,Ulikantappa,INC,Rayadurg,,,,,,,,,,106986.0,21141.0
1983,MLA Candidate,Kata Govindappa,IND,Rayadurg,,,,,,,,,,106986.0,22822.0
1983,MLA,P. Venngopal Reddy,IND,Rayadurg,,,,,,,,,,106986.0,26203.0
1985,MLA Candidate,U. Lingareddy,JNP,Rayadurg,,,,,,,,,,116102.0,34588.0
1985,MLA,Huli Kuntaprao,INC,Rayadurg,,,,,,,,,,116102.0,41777.0
1994,MLA Candidate,J. Kairunnisa,IND,Rayadurg,,,,,,,,,,150237.0,22.0
1994,MLA Candidate,Kristappa,IND,Rayadurg,,,,,,,,,,150237.0,77.0
1994,MLA Candidate,Muddu Krishna,IND,Rayadurg,,,,,,,,,,150237.0,188.0
1994,MLA Candidate,Nayakula Narasimhulu,IND,Rayadurg,,,,,,,,,,150237.0,262.0
1994,MLA Candidate,Nayakula Anjineyulu,IND,Rayadurg,,,,,,,,,,150237.0,355.0
1994,MLA Candidate,Khuddus,IND,Rayadurg,,,,,,,,,,150237.0,3255.0
1994,MLA Candidate,Patil Venugopal Reddy,INC,Rayadurg,,,,,,,,,,150237.0,41983.0
1994,MLA,Bandi Hulikuntappa,TDP,Rayadurg,,,,,,,,,,150237.0,62716.0
1999,MLA Candidate,Ramanjaneyulu,IND,Rayadurg,,,,,,,,,,165763.0,524.0
1999,MLA Candidate,Satish Kumar,PPOI,Rayadurg,,,,,,,,,,165763.0,592.0
