name,mandal,year,age,area,community,cooptmember,edu,electioncat,occupation,party,pparty,president,sex,vp,vpparty
Lakshimathamma,Gooty,2001,,Gooty 2,,,,,,INC,,,,,
Mandla Ramanjinamma,Gooty,2001,,Chetnepalli 1,,,,,,IND,,,,,
E Ramakrishna,Gooty,2001,,Ubicherla,,,,,,TDP,,,,,
Sreepathinaidu S,Gooty,2001,,Karidikonda,,,,,,TDP,,,,,
Thapila Venkatesulu Naidu,Gooty,2001,,Peddoddi,,,,,,TDP,,,,,
Kona Muralidhar Reddy,Gooty,2001,,Gooty 4,,,,,,INC,,,,,
Khaja Mainoddin,Gooty,2001,,Gooty 5,,,,,,TDP,,,,,
Beldar Sreeramulu,Gooty,2001,,Gooty 6,,,,,,INC,,,,,
Bommireddy Jayakrishna Reddy,Gooty,2001,,Chetnepalli 2,,,,,,TDP,,,,,
Savithri Bai,Gorantla,2001,,Vanavolu 1,,,,,,TDP,,,,,
Pala Jayaram Naik,Gorantla,2001,,Mandalapalli 1,,,,,,INC,,,,,
B Hanumakka,Gorantla,2001,,Palasamudram,,,,,,TDP,,,,,
M Kristappa,Gorantla,2001,,Gorantla 4,,,,,,TDP,,,,,
Sankara Konda Venkata Narsamma,Gorantla,2001,,Kondapuram,,,,,,TDP,,,,,
Edagoti Nanjamma,Gorantla,2001,,Reddicheruvupalli,,,,,,TDP,,,,,
Venkataramappa,Gorantla,2001,,Budili,,,,,,INC,,,,,
Gorla Nagabhushnam,Gorantla,2001,,Gownivaripalli,,,,,,TDP,,,,,
V Narayanappa,Gorantla,2001,,Mallepalli,,,,,,TDP,,,,,
Sugunamma,Gorantla,2001,,Gangampalli,,,,,,TDP,,,,,
Sundaramma,Gorantla,2001,,Vodigepalli,,,,,,TDP,,,,,
E Renuka Devi,Gorantla,2001,,Gorantla 1,,,,,,TDP,,,,,
P Govindamma,Gorantla,2001,,Gorantla 2,,,,,,TDP,,,,,
H Allabaksh,Gorantla,2001,,Gorantla 3,,,,,,TDP,,,,,
C Rajagopal Reddy,Gorantla,2001,,Kommavariapalli,,,,,,TDP,,,,,
Mallaballi Suseelamma,Gorantla,2001,,Puleru,,,,,,TDP,,,,,
Jampula Venugopal,Gorantla,2001,,Vanavolu 2,,,,,,TDP,,,,,
Seenappa,Gorantla,2001,,Mandalapalli 2,,,,,,TDP,,,,,
B H Geetha,Gudibanda,2001,,Rallapalli 1,,,,,,INC,,,,,
Narsimhappa,Gudibanda,2001,,Rallapalli 2,,,,,,INC,,,,,
Narsaiah,Gudibanda,2001,,Muthukur,,,,,,INC,,,,,
Nagamma,Gudibanda,2001,,Jambulabanda,,,,,,INC,,,,,
Akumalla Raju,Gudibanda,2001,,Gudibanda 1,,,,,,INC,,,,,
B Muddanna,Gudibanda,2001,,Morubagal 2,,,,,,TDP,,,,,
Bashappa,Gudibanda,2001,,Gunemorubagal,,,,,,INC,,,,,
Chinna Laxmamma,Gudibanda,2001,,Karikera,,,,,,INC,,,,,
